"NodeNumber,LT_className_decision,GT_className_decision,LT_WeightCorrect,GT_WeightCorrect,LT_TotalWeight,GT_TotalWeight"
30,0,0,0.00798127445827,0.00756976511501,0.00798127445827,0.0119099299814
29,0,1,0.00901406942303,0.00428345799455,0.0128291486479,0.00736241542886
13,nan,1,nan,0.00986783117819,nan,0.0125857125355
27,1,0,0.0100447168124,0.0230144305026,0.0113117533419,0.0409172113599
5,nan,1,nan,0.00497194613783,nan,0.00668943171193
24,0,0,0.0217430508584,0.0135894067865,0.0217430508584,0.0160870162157
23,0,0,0.301149085291,0.0199311299536,0.40506495684,0.0199311299536
22,0,0,0.00859629363581,0.00815364407191,0.0159665153849,0.00815364407191
21,0,nan,0.0226490113109,nan,0.0226490113109,nan
20,1,nan,0.00905960452434,nan,0.00905960452434,nan
19,1,0,0.0894482654862,0.0094090777184,0.15081279746,0.0142982446449
8,0,nan,0.00543576271461,nan,0.00543576271461,nan
16,0,1,0.00877629853205,0.00658734897847,0.0152263173483,0.00839926988334
15,1,1,0.0978437288629,0.0552635875985,0.10533655715,0.0702492441733
