"NodeNumber,GiniIncrease,ColumnName,ValueOfSplit,RangeBetweenSplits"
0,0.601473749834,YesMr,0.0,0.181818181818
1,0.61729937254,Pclass,2.5,0.181818181818
2,0.659853925613,CabinNumbers,12.5454545455,13.5454545455
3,0.772953910652,YesRev,0.0,0.181818181818
4,0.557435566035,FamilySize,4.5,0.909090909091
5,0.703761897333,CabinNumbers,7.5,1.18181818182
6,0.546794309319,TicketNumber,35461.0,34766.0
7,0.788271774282,YesFancy,0.0,0.181818181818
8,1.0,ThisIsAnEndNode,nan,nan
9,0.532595625019,YesMaster,0.0,0.181818181818
10,0.780478978684,FamilySize,6.5,0.545454545455
11,0.707360530007,TicketDashes,1.5,0.363636363636
12,nan,,nan,nan
13,0.536964925045,AgeGroup,0.75,0.136363636364
14,0.630059874034,EmbarkIsC,0.0,0.181818181818
15,0.829754637516,TicketNumber,45576.0909091,22786.5454545
16,0.614258467499,CabinNumbers,8.54545454545,9.54545454545
17,nan,,nan,nan
18,nan,,nan,nan
19,0.513005898434,Fare,-0.25,0.0454545454545
20,1.0,ThisIsAnEndNode,nan,nan
21,1.0,ThisIsAnEndNode,nan,nan
22,0.688213296572,TicketBeginLetter,0.0,0.181818181818
23,0.692734385858,AgeGroup,0.75,0.136363636364
24,0.912707129157,AgeGroup,0.25,0.136363636364
25,nan,,nan,nan
26,nan,,nan,nan
27,0.563031379363,TicketBeginLetter,0.0,0.181818181818
28,0.553092737339,CabinNumbers,39.5,5.72727272727
29,0.671361514171,CabinNumbers,107.272727273,10.3636363636
30,nan,,nan,nan
